split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.37267660377177303,0.14010872166684463,0.8178150783514768,0.7950260730044123,0.7951334222037009,0.7913252222627184,0.9562423090983045,0.9558941459502807,0.955883185166893,0.955884954186861,89.65657673900023,89.65659821600002
test,0,2,0.1198489393652639,0.08849465394797403,0.9685120288847698,0.9685118331327718,0.9685116519671217,0.9685118014674959,0.9727817653263358,0.9727345629510826,0.9727306869160801,0.9727337037608684,89.62908689800042,179.2876165130001
test,0,3,0.05598796607898096,0.1040211138259485,0.9877669331170837,0.9877657440834336,0.9877665407088766,0.9877657435913113,0.9727817653263358,0.9727345629510826,0.9727306869160801,0.9727337037608684,89.6339996430006,268.9235185890002
test,0,4,0.0299299915840534,0.1299396791729147,0.9939837925550016,0.9939831528279182,0.9939837925550016,0.9939831528279182,0.9767448141745894,0.9767441860465116,0.9767448141745894,0.9767441860465116,89.55205569099962,358.4774338930001
test,0,5,0.012101642465434829,0.19726069559512693,0.9973929404889552,0.9973926995587645,0.9973931805803498,0.997392699453886,0.9687509679417686,0.967121090617482,0.9671448635634029,0.9670936653036951,89.50340688699998,447.9825969270005
test,0,6,0.016579847798540416,0.17081921026386984,0.9961943684633949,0.9961893301243482,0.9961907757707306,0.9961893262922448,0.9715134149920452,0.9711307137129109,0.9711422706506976,0.9711253473294226,89.57695472299929,537.5612665939998
test,0,7,0.0031922168245753784,0.20975333950187303,0.9991977531940637,0.9991977537103891,0.9991977531940637,0.9991977531940637,0.9707767295273604,0.9703287890938251,0.9703165514261021,0.9703211547083543,89.60300221899979,627.1660063259997
test,0,8,0.004108231064531465,0.1789068391777384,0.9991977537103891,0.9991977537103891,0.9991980749938255,0.9991977535813078,0.9736001914092247,0.9735364875701684,0.9735319689673623,0.9735353983581413,89.58066338899971,716.7483989029997
test,0,9,0.001528599374222971,0.17203511230748808,0.9997993579454254,0.9997994384275972,0.9997995991983968,0.9997994383549891,0.9767534585564868,0.9767441860465116,0.976746100341606,0.9767441262246745,89.5686529020004,806.31876723
test,0,10,0.0024534422630977026,0.17862008819797204,0.9991977537103891,0.9991977537103891,0.9991980749938255,0.9991977535813078,0.9783498392282959,0.9783480352846833,0.9783473782771535,0.9783479795884901,89.58683934400051,895.9073059399998
