split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.542813788900281,0.17143285315815765,0.715258060874183,0.7024752475247524,0.7018626081415582,0.6975800073287064,0.9544513457556936,0.9544554455445544,0.954465602158296,0.9544547311790009,36.49958558299113,36.499604153999826
test,0,2,0.15949605719582868,0.12289891449531706,0.9530636615697148,0.9529702970297029,0.9530108080288214,0.9529697322607786,0.9674415314975482,0.9663366336633663,0.966488377199862,0.9663234284593507,36.39641488599591,72.89703478300362
test,0,3,0.08346851885429409,0.22087121276867272,0.9752590700241449,0.9752475247524752,0.9752665245202559,0.9752475004876977,0.9530685920577617,0.9485148514851485,0.9488188976377953,0.9484078335219415,36.358192430008785,109.25617730199883
test,0,4,0.048502740868837525,0.13509221427363924,0.9886206788380701,0.9886138613861386,0.988630737935936,0.9886138362720631,0.9726669177888689,0.9722772277227723,0.9723703610753835,0.9722745098039216,36.35451690699847,145.61166617900017
test,0,5,0.008372619847471983,0.13443560994571388,0.9980197534495012,0.998019801980198,0.9980197534495012,0.9980197534495012,0.976236785142893,0.9762376237623762,0.976236785142893,0.976236785142893,36.36080801600474,181.97340671200072
test,0,6,0.016652188809198963,0.13610599039601956,0.9970296301742518,0.997029702970297,0.9970296301742518,0.9970296301742518,0.9785095565389323,0.9782178217821782,0.9782994008219092,0.9782164551055061,36.33515587000875,218.30950077199668
test,0,7,0.005993513774419535,0.15098816384330835,0.9990098767247506,0.999009900990099,0.9990098767247506,0.9990098767247506,0.9747645211930926,0.9742574257425742,0.9743623929478935,0.9742537913400185,36.32108949800022,254.63146255200263
test,0,8,0.0002390223817489488,0.1547943389153864,1.0,1.0,1.0,1.0,0.9726669177888689,0.9722772277227723,0.9723703610753835,0.9722745098039216,36.3028742519964,290.93522849500005
test,0,9,0.0002880913287569483,0.13684506501246355,1.0,1.0,1.0,1.0,0.9783509036144578,0.9782178217821782,0.9782758728864072,0.9782174801290875,36.27148089199909,327.2075826270011
test,0,10,0.00019056894954773459,0.15575870816724946,1.0,1.0,1.0,1.0,0.9745472805448325,0.9742574257425742,0.9743388650123914,0.9742558105792345,36.28300164200482,363.4914496160054
