split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.524070571962487,0.381465641290866,0.7221578330667171,0.6965918536990856,0.6930534558523136,0.6850805667897145,0.8795481485662677,0.8703241895261845,0.8718348217988774,0.869818199980022,86.57897794499968,86.57899884000017
test,0,2,0.23138163841220358,0.21366426951607267,0.9108590754029955,0.9108478802992519,0.9107584646555139,0.9108021128903656,0.9151645508028488,0.9152119700748129,0.9152127630160091,0.9151861252115059,86.47789487200134,173.05883020000056
test,0,3,0.13970654387822867,0.26346975270192685,0.9605883329184299,0.9605153782211139,0.9604250006739788,0.9604932049245825,0.9194216247614306,0.9193682460515378,0.9192592694998203,0.9193245415420779,86.43694651499936,259.49773430799996
test,0,4,0.09546919450348093,0.31967696895496184,0.9761545794681696,0.9761014131338321,0.9760379792248621,0.9760891444811004,0.9165140347165778,0.914380714879468,0.9137293665496171,0.9141526918000644,86.42480499099838,345.92442829000083
test,0,5,0.05768188432030107,0.4271470585641322,0.9852812687805057,0.9852452202826267,0.985202017374137,0.9852381917134827,0.9165905610469163,0.912718204488778,0.9136878922774905,0.9126216009999938,86.39667753600042,432.32292626899925
test,0,6,0.02961226095821312,0.39784039483666545,0.9929803480165491,0.9929343308395677,0.9928900419111135,0.9929309005989775,0.928991791853802,0.9285120532003325,0.9288992728177621,0.928511608623549,86.37923563100048,518.7039302740004
test,0,7,0.014983777944415657,0.4868244255955059,0.9969144342945181,0.9968827930174564,0.996852518918067,0.9968813641633831,0.9260447761194031,0.9260182876142976,0.9261979152265878,0.9260131752342083,86.33482603599987,605.0405237170007
test,0,8,0.008775749803518416,0.5270001819278747,0.9977091144806811,0.9977140482128013,0.9977172855866001,0.9977131568954873,0.9234711648504752,0.9235245220282626,0.9235601515193408,0.9235054407926748,86.34241384699999,691.384602860001
test,0,9,0.014061723550002021,0.5343168385846873,0.997310427246733,0.9972984206151289,0.9972849022523336,0.9972972766290253,0.9259812215918517,0.9260182876142976,0.9260071335748057,0.9259935371269592,86.36745531899942,777.753723113
test,0,10,0.005247261609942792,0.5437136117815001,0.9989647338991969,0.9989609310058188,0.9989563697219682,0.9989605086163078,0.9243403770538039,0.9243557772236076,0.9243122183205685,0.9243256582699275,86.36847792399931,864.1240298990006
