split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.4642704205928132,0.27688956508094,0.7652840070010392,0.7443813579370712,0.7432372815680048,0.7386399708944651,0.9023071542576895,0.8997161778618732,0.9000255105465971,0.8995997143248864,151.2059104219952,151.20593002799433
test,0,2,0.2261020299360096,0.24278580394547958,0.9145592207222137,0.9144783534421576,0.9144261960723645,0.9144619699498828,0.9027468871780249,0.8978240302743614,0.8982478282468884,0.897576140936436,151.0302056770015,302.239335959006
test,0,3,0.13136671911656278,0.28078839608116557,0.9547416872041141,0.9546960018925952,0.9546635738546374,0.9546897883111767,0.9103795337425511,0.9101229895931883,0.9102252536509172,0.9101190476190476,150.9844925159996,453.22702942500473
test,0,4,0.07573491722962103,0.48226950542312713,0.9779088744921214,0.9778802933522592,0.977858880478987,0.9778778415636407,0.9137770702928268,0.9115421002838221,0.9118270474451411,0.9114583928268661,150.98347925899725,604.213672687998
test,0,5,0.04535752876673505,0.47218129140511683,0.9875954083106264,0.9875798438608943,0.9875666706387469,0.9875787035783484,0.9104582024835057,0.9077578051087984,0.9080711789005402,0.9076476807073646,150.97134855900367,755.1879777589929
test,0,6,0.02998917202017504,0.5102548642667346,0.9936049301941088,0.99361249112846,0.9936234959384314,0.993612210841986,0.9219404524070374,0.9219489120151372,0.9219551819976101,0.9219459603157607,150.9814501189976,906.1723374180001
test,0,7,0.01672308392034412,0.5770678210111098,0.9959872415203044,0.9959782351549562,0.9959703628710763,0.9959779101017374,0.924618934997085,0.924314096499527,0.9244243343761329,0.9243097606931707,151.004977478995,1057.180129831002
test,0,8,0.010933946876816723,0.5913116839867398,0.9972846200449479,0.9972793943695292,0.9972744607985068,0.9972791914988847,0.9207692197381441,0.9200567644276254,0.9202204648290122,0.9200395699675585,151.00929339800496,1208.1923127229966
test,0,9,0.007468456017163603,0.5816249759279956,0.9983480992058417,0.9983439791814526,0.9983400659999654,0.9983438590552356,0.9252953554962213,0.9252601702932829,0.9253060146708021,0.9252601033969181,151.02425676099665,1359.2193851899938
test,0,10,0.004623788302692663,0.5881840879586702,0.9989363216925,0.9989354151880766,0.9989343947985414,0.9989353442657635,0.925872675967571,0.9257332071901608,0.9258113025148028,0.9257323928880785,151.04269205100718,1510.2648492169974
