split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.7204757959414752,0.7009166845908532,0.3501567398119122,0.4166666666666667,0.4602990033222591,0.31929992807480223,0.23076923076923078,0.46153846153846156,0.5,0.3157894736842105,3.220921896980144,3.2209410119976383
test,0,2,0.6974761149822137,0.6862491980577127,0.5064651406604928,0.4935897435897436,0.5061461794019934,0.4910592607887673,0.2692307692307692,0.5384615384615384,0.5,0.35,2.977654791000532,6.199191480991431
test,0,3,0.6747804895425454,0.6761407332542615,0.6231884057971014,0.5897435897435898,0.5508305647840531,0.4935064935064935,0.2692307692307692,0.5384615384615384,0.5,0.35,2.9833877649798524,9.182882210996468
test,0,4,0.6705010945980365,0.6586353794122354,0.7774193548387096,0.5576923076923077,0.5071428571428571,0.37093098007129915,0.2692307692307692,0.5384615384615384,0.5,0.35,2.988426417025039,12.171905361989047
test,0,5,0.6342055705877451,0.6141680586032379,0.7847682119205298,0.5833333333333334,0.5357142857142857,0.42953586497890295,0.8,0.6410256410256411,0.6111111111111112,0.5568181818181819,2.9880783619883005,15.160268767998787
test,0,6,0.5532121941065177,0.47400752856181216,0.8257575757575757,0.7051282051282052,0.6714285714285715,0.6498145617802069,0.9375,0.9230769230769231,0.9166666666666667,0.9212121212121211,2.998601958010113,18.15916581900092
test,0,7,0.4210054553472079,0.36574441500199145,0.9160714285714285,0.8974358974358975,0.8870431893687707,0.8934971838197645,0.876984126984127,0.8717948717948718,0.876984126984127,0.8717948717948718,2.99229727499187,21.1517636970093
test,0,8,0.28758488710110003,0.3050764982516949,0.9357398873527906,0.9294871794871795,0.9240863787375415,0.9279203595581131,0.8986842105263158,0.8974358974358975,0.9007936507936507,0.8973684210526316,2.9975527620117646,24.14984435599763
test,0,9,0.20628415315579146,0.3012027205565037,0.9646464646464646,0.9615384615384616,0.9584717607973422,0.9608957219251337,0.876984126984127,0.8717948717948718,0.876984126984127,0.8717948717948718,2.991250516002765,27.141370522993384
test,0,10,0.17118808588920495,0.3036297070674407,0.98003314001657,0.9807692307692307,0.9812292358803987,0.9805897723030981,0.876984126984127,0.8717948717948718,0.876984126984127,0.8717948717948718,2.9931113889906555,30.135062098997878
