split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7695216849970166,0.8287759009981528,0.8293273349991068,0.7170537114143372,0.5919540229885057,0.53125,0.53125,0.43859649122807015,2.8571428571428573e-06,1.03125,0.0,2.0,easy|medium|hard
test,0,1,2,32,0.5261787710187491,1.3765370129840448,1.377088401990477,0.6868426203727722,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,5.7142857142857145e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.527806006022729,1.9048456289747264,1.9053971949906554,0.7769808769226074,0.6774193548387097,0.375,0.5238095238095238,0.3073593073593074,8.571428571428571e-06,1.0625,0.0,2.0,easy|medium|hard
test,0,1,4,32,0.5271809439873323,2.43250882497523,2.4330602859845385,0.7388794422149658,0.7,0.4375,0.55,0.37662337662337664,1.1428571428571429e-05,1.1875,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5285164820088539,2.961486596992472,2.962037938006688,0.7139719724655151,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,1.4285714285714287e-05,1.0625,0.0,2.0,medium|easy|hard
test,0,1,6,32,0.527823318989249,3.4898292399884667,3.4903806539950892,0.7084407806396484,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,1.7142857142857142e-05,0.90625,0.0,2.0,medium|easy|hard
test,0,1,7,30,0.511294961994281,4.001585145975696,4.002136517985491,0.7177221179008484,0.45999999999999996,0.36666666666666664,0.47500000000000003,0.34857142857142853,2e-05,1.0666667222976685,0.0,2.0,hard|easy|medium
test,0,2,1,32,0.5308796530007385,0.6118480659788474,5.0464167289901525,0.6898815631866455,0.4545454545454546,0.4375,0.46031746031746035,0.4285714285714286,1.9682539682539684e-05,1.25,0.0,2.0,hard|easy|medium
test,0,2,2,32,0.5286640400008764,1.1412292689783499,5.575797868979862,0.6914546489715576,0.5144927536231884,0.59375,0.5136363636363637,0.5134502923976608,1.9365079365079367e-05,1.0,0.0,2.0,easy|hard|medium
test,0,2,3,32,0.5304968779964838,1.6722953589924145,6.106863950990373,0.7024028301239014,0.5992063492063493,0.59375,0.5980392156862745,0.5933528836754643,1.904761904761905e-05,1.0625,0.0,2.0,hard|medium|easy
test,0,2,4,32,0.529160962003516,2.2019102609774563,6.636478862987133,0.6741858124732971,0.5769230769230769,0.625,0.55,0.536231884057971,1.8730158730158732e-05,0.78125,0.0,2.0,easy|medium|hard
test,0,2,5,32,0.5305562270223163,2.7329419819870964,7.1675105989852455,0.6483640670776367,0.6166666666666667,0.71875,0.533816425120773,0.5060034305317325,1.8412698412698415e-05,1.1875,0.0,2.0,medium|easy|hard
test,0,2,6,32,0.5299480939866044,3.2633327259973157,7.697901317005744,0.6366672515869141,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,1.8095238095238097e-05,0.78125,0.0,2.0,medium|easy|hard
test,0,2,7,30,0.5121797939937096,3.775932759977877,8.210501348978141,0.6610909700393677,0.3333333333333333,0.6666666666666666,0.5,0.4,1.7777777777777777e-05,1.2666667699813843,0.0,2.0,hard|easy|medium
test,0,3,1,32,0.5301712049986236,0.6121008570189588,9.265643225982785,0.6903064250946045,0.296875,0.59375,0.5,0.37254901960784315,1.7460317460317463e-05,0.9375,0.0,2.0,easy|medium|hard
test,0,3,2,32,0.5298916260071564,1.1427576540154405,9.796300024987431,0.6999519467353821,0.25,0.5,0.5,0.3333333333333333,1.7142857142857142e-05,1.0625,0.0,2.0,hard|easy|medium
test,0,3,3,32,0.5285774329968262,1.672328117012512,10.325870517001022,0.6758308410644531,0.3125,0.625,0.5,0.38461538461538464,1.6825396825396828e-05,1.09375,0.0,2.0,easy|hard|medium
test,0,3,4,32,0.5298529140127357,2.202586516010342,10.856128966988763,0.6713573336601257,0.3125,0.625,0.5,0.38461538461538464,1.6507936507936507e-05,1.09375,0.0,2.0,hard|medium|easy
test,0,3,5,32,0.5298481259960681,2.7328686410037335,11.386411104002036,0.7288248538970947,0.25,0.5,0.5,0.3333333333333333,1.6190476190476193e-05,1.125,0.0,2.0,easy|medium|hard
test,0,3,6,32,0.529389961011475,3.262688879010966,11.916231248003896,0.6222259998321533,0.34375,0.6875,0.5,0.4074074074074074,1.5873015873015872e-05,1.25,0.0,2.0,medium|easy|hard
test,0,3,7,30,0.5118434570031241,3.774995329004014,12.428537704981863,0.7496611475944519,0.23333333333333334,0.4666666666666667,0.5,0.3181818181818182,1.555555555555556e-05,0.7333333492279053,0.0,2.0,medium|easy|hard
test,0,4,1,32,0.5311790150008164,0.6123369889974128,13.49171129098977,0.763063907623291,0.1875,0.375,0.5,0.2727272727272727,1.523809523809524e-05,1.0625,0.0,2.0,easy|medium|hard
test,0,4,2,32,0.529713032010477,1.1427972999808844,14.022171635006089,0.6183657646179199,0.34375,0.6875,0.5,0.4074074074074074,1.4920634920634922e-05,1.09375,0.0,2.0,hard|medium|easy
test,0,4,3,32,0.5301366519997828,1.6734790089831222,14.552853317989502,0.7111237049102783,0.234375,0.46875,0.5,0.3191489361702128,1.4603174603174603e-05,0.96875,0.0,2.0,medium|hard|easy
test,0,4,4,32,0.530388615996344,2.204332869994687,15.083707204001257,0.6135728359222412,0.328125,0.65625,0.5,0.39622641509433965,1.4285714285714287e-05,0.96875,0.0,2.0,easy|medium|hard
