split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.7118960932681435,0.7057350277900696,0.2976190476190476,0.40789473684210525,0.44076655052264807,0.3069908814589665,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.8602294089996576,1.8602488810001887
test,0,2,0.6994777196332028,0.7009974122047424,0.5348484848484849,0.4868421052631579,0.5160278745644599,0.4245777518928363,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.6253190899997207,3.4858572229995843
test,0,3,0.6994084809955797,0.6973562240600586,0.4772727272727273,0.4605263157894737,0.4895470383275261,0.3950689186565715,0.75,0.5263157894736842,0.55,0.4242424242424242,1.6232221049995132,5.109363925999787
test,0,4,0.6776218916240492,0.6959279775619507,0.6161538461538462,0.5921052631578947,0.605226480836237,0.5863037752414398,0.3142857142857143,0.3684210526315789,0.3555555555555555,0.3214285714285714,1.640036992000205,6.749680905999412
test,0,5,0.664838216806713,0.6922146677970886,0.6877104377104377,0.6710526315789473,0.6554006968641115,0.6491228070175439,0.5147058823529411,0.5263157894736842,0.5055555555555555,0.4242424242424242,1.6379951639992214,8.387971559999642
test,0,6,0.6656322479248047,0.6852967143058777,0.7622377622377623,0.6578947368421053,0.6306620209059233,0.5947497949138638,0.25,0.47368421052631576,0.45,0.32142857142857145,1.6260505939999348,10.014297751999948
test,0,7,0.6621353030204773,0.6804537773132324,0.7023809523809523,0.5921052631578947,0.5592334494773519,0.48231157987255546,0.7777777777777778,0.5789473684210527,0.5555555555555556,0.4571428571428572,1.6296325459998116,11.644192963000023
test,0,8,0.6201461114381489,0.6676246523857117,0.8059701492537313,0.6578947368421053,0.6285714285714286,0.5841750841750842,0.7214285714285715,0.6842105263157895,0.6722222222222223,0.6607142857142857,1.6300423259999661,13.27451292600017
test,0,9,0.6110328247672633,0.6506296992301941,0.8106060606060606,0.6710526315789473,0.6428571428571428,0.6053997923156802,0.7628205128205128,0.7368421052631579,0.7277777777777779,0.7246376811594203,1.6299084820002463,14.904686011000194
test,0,10,0.5924772431975917,0.6407530903816223,0.8306451612903225,0.7236842105263158,0.7,0.6837725381414701,0.7628205128205128,0.7368421052631579,0.7277777777777779,0.7246376811594203,1.6293061280002803,16.534263757999724
