split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.7118960932681435,0.7057350277900696,0.2976190476190476,0.40789473684210525,0.44076655052264807,0.3069908814589665,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.8889236900140531,1.8889421450148802
test,0,2,0.6994776945365103,0.7009974122047424,0.5348484848484849,0.4868421052631579,0.5160278745644599,0.4245777518928363,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.64870690900716,3.53793005598709
test,0,3,0.6994085562856573,0.6973564028739929,0.4772727272727273,0.4605263157894737,0.4895470383275261,0.3950689186565715,0.75,0.5263157894736842,0.55,0.4242424242424242,1.6476091560034547,5.18582880901522
test,0,4,0.677621907309482,0.6959282755851746,0.6161538461538462,0.5921052631578947,0.605226480836237,0.5863037752414398,0.3142857142857143,0.3684210526315789,0.3555555555555555,0.3214285714285714,1.6546456350188237,6.840780778002227
test,0,5,0.6648383109193099,0.6922149658203125,0.6877104377104377,0.6710526315789473,0.6554006968641115,0.6491228070175439,0.5147058823529411,0.5263157894736842,0.5055555555555555,0.4242424242424242,1.6478523510158993,8.488932050997391
test,0,6,0.6656333929614017,0.685333251953125,0.7622377622377623,0.6578947368421053,0.6306620209059233,0.5947497949138638,0.25,0.47368421052631576,0.45,0.32142857142857145,1.6473570719826967,10.136567837995244
test,0,7,0.6623676858450237,0.6805087924003601,0.7023809523809523,0.5921052631578947,0.5592334494773519,0.48231157987255546,0.7777777777777778,0.5789473684210527,0.5555555555555556,0.4571428571428572,1.655710741004441,11.792559460009215
test,0,8,0.6209050228721217,0.6682727336883545,0.8059701492537313,0.6578947368421053,0.6285714285714286,0.5841750841750842,0.7214285714285715,0.6842105263157895,0.6722222222222223,0.6607142857142857,1.6630552919814363,13.456210864998866
test,0,9,0.6126938462257385,0.6538158655166626,0.8106060606060606,0.6710526315789473,0.6428571428571428,0.6053997923156802,0.8571428571428572,0.7894736842105263,0.7777777777777778,0.7738095238095238,1.6488571070076432,15.105334646999836
test,0,10,0.592543573755967,0.6455400586128235,0.8306451612903225,0.7236842105263158,0.7,0.6837725381414701,0.8571428571428572,0.7894736842105263,0.7777777777777778,0.7738095238095238,1.650107699999353,16.7556917819893
