split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.49542404657839206,0.273520970112638,0.7426484453389219,0.723207948899929,0.7220501329508793,0.7168583441538366,0.8988644755864489,0.8987701040681173,0.8988359134789672,0.8987697416412693,150.27209232200403,150.27211179400183
test,0,2,0.23385391320644583,0.25517596487509214,0.9116537510803415,0.9116394606103619,0.9116156648022516,0.9116301018490147,0.9030888818870573,0.9030274361400189,0.9030827481571987,0.9030274144410544,150.32032051900023,300.595719984005
test,0,3,0.14222071634093045,0.2744048703814325,0.9544099997911775,0.9543411402886208,0.9543001257166186,0.9543336874971766,0.9109713716865045,0.9096499526963103,0.9094406924546965,0.9095420872569571,150.32729503599694,450.9263361609992
test,0,4,0.09405128647065879,0.36503559920378204,0.974945514439688,0.9749231133191388,0.9749043636332904,0.9749205179987552,0.914258933843988,0.9139072847682119,0.91380210081589,0.9138699726441999,150.26822794300097,601.1976442550003
test,0,5,0.05467411120972341,0.4966962442185083,0.9855859078181215,0.9855689614383724,0.9855547065988155,0.9855676036200465,0.9109154021407385,0.9105960264900662,0.9107090589293627,0.9105902445606748,150.23316956299823,751.4339179950039
test,0,6,0.03638727004272519,0.5493337614374221,0.9912461807441275,0.9912467471019636,0.9912461807441275,0.9912461807441275,0.9127659574468086,0.9124881740775781,0.9125941540568483,0.9124837679084473,150.23973770200246,901.676652922004
test,0,7,0.020893490451491973,0.6167785015510066,0.9953825241701204,0.9953867991483322,0.9953912582033297,0.9953865429459909,0.9163348753276142,0.9162724692526018,0.9163285400358938,0.9162724505173983,150.26373914200667,1051.9433463890018
test,0,8,0.015673249967374833,0.6274269725313195,0.996455351018424,0.9964513839602555,0.9964473483230201,0.9964511265469336,0.9114580394369729,0.9110690633869442,0.911192864207808,0.9110611028609434,150.23340176099737,1202.179679824003
test,0,9,0.004000445019700957,0.6814525603960643,0.9990578797761234,0.9990537023894015,0.99904983512882,0.999053633745849,0.9094739462671704,0.9091769157994324,0.9092862865147671,0.9091717128318049,150.2419038809967,1352.4244396720023
test,0,10,0.0073797298150238225,0.6823564725155532,0.9984652549848428,0.9984622663827774,0.9984593123629513,0.9984621579141979,0.9154357789952376,0.9153263954588458,0.9153967337549287,0.9153259217837841,150.23766194700147,1502.664862892998
